 n,time,method_enum,problem_enum,api_enum,compiler_enum
     256,             0.000080,  1,  0,  0, 0
     512,             0.000248,  1,  0,  0, 0
    1024,             0.001367,  1,  0,  0, 0
    2048,             0.008791,  1,  0,  0, 0
    4096,             0.038411,  1,  0,  0, 0
    8192,             0.133693,  1,  0,  0, 0
   16384,             0.544049,  1,  0,  0, 0
      64,             0.000003,  1,  0,  0, 0
     128,             0.000014,  1,  0,  0, 0
     256,             0.000059,  1,  0,  0, 0
     512,             0.000248,  1,  0,  0, 0
    1024,             0.001365,  1,  0,  0, 0
    2048,             0.008979,  1,  0,  0, 0
    4096,             0.036899,  1,  0,  0, 0
    8192,             0.139392,  1,  0,  0, 0
   16384,             0.539368,  1,  0,  0, 0
      64,             0.000003,  1,  0,  0, 0
     128,             0.000014,  1,  0,  0, 0
     256,             0.000060,  1,  0,  0, 0
     512,             0.000250,  1,  0,  0, 0
    1024,             0.001376,  1,  0,  0, 0
    2048,             0.008904,  1,  0,  0, 0
    4096,             0.038666,  1,  0,  0, 0
    8192,             0.134657,  1,  0,  0, 0
   16384,             0.541669,  1,  0,  0, 0
      64,             0.000003,  1,  0,  0, 0
     128,             0.000014,  1,  0,  0, 0
     256,             0.000059,  1,  0,  0, 0
     512,             0.000248,  1,  0,  0, 0
    1024,             0.001372,  1,  0,  0, 0
    2048,             0.008901,  1,  0,  0, 0
    4096,             0.035303,  1,  0,  0, 0
    8192,             0.134585,  1,  0,  0, 0
   16384,             0.526418,  1,  0,  0, 0
      64,             0.000003,  1,  0,  0, 0
     128,             0.000014,  1,  0,  0, 0
     256,             0.000056,  1,  0,  0, 0
     512,             0.000227,  1,  0,  0, 0
    1024,             0.001313,  1,  0,  0, 0
    2048,             0.008522,  1,  0,  0, 0
    4096,             0.036125,  1,  0,  0, 0
    8192,             0.135590,  1,  0,  0, 0
   16384,             0.533525,  1,  0,  0, 0
      64,             0.000003,  1,  0,  0, 0
     128,             0.000014,  1,  0,  0, 0
     256,             0.000070,  1,  0,  0, 0
     512,             0.000248,  1,  0,  0, 0
    1024,             0.001370,  1,  0,  0, 0
    2048,             0.008760,  1,  0,  0, 0
    4096,             0.036262,  1,  0,  0, 0
    8192,             0.134238,  1,  0,  0, 0
   16384,             0.527775,  1,  0,  0, 0
      64,             0.000003,  2,  0,  0, 0
     128,             0.000014,  2,  0,  0, 0
     256,             0.000059,  2,  0,  0, 0
     512,             0.000248,  2,  0,  0, 0
    1024,             0.001370,  2,  0,  0, 0
    2048,             0.008761,  2,  0,  0, 0
    4096,             0.035175,  2,  0,  0, 0
    8192,             0.137399,  2,  0,  0, 0
   16384,             0.536806,  2,  0,  0, 0
      64,             0.000003,  2,  0,  0, 0
     128,             0.000014,  2,  0,  0, 0
     256,             0.000059,  2,  0,  0, 0
     512,             0.000248,  2,  0,  0, 0
    1024,             0.001360,  2,  0,  0, 0
    2048,             0.008736,  2,  0,  0, 0
    4096,             0.038396,  2,  0,  0, 0
    8192,             0.139242,  2,  0,  0, 0
   16384,             0.528127,  2,  0,  0, 0
      64,             0.000003,  2,  0,  0, 0
     128,             0.000014,  2,  0,  0, 0
     256,             0.000059,  2,  0,  0, 0
     512,             0.000248,  2,  0,  0, 0
    1024,             0.001372,  2,  0,  0, 0
    2048,             0.008989,  2,  0,  0, 0
    4096,             0.038807,  2,  0,  0, 0
    8192,             0.135304,  2,  0,  0, 0
   16384,             0.535321,  2,  0,  0, 0
      64,             0.000003,  2,  0,  0, 0
     128,             0.000014,  2,  0,  0, 0
     256,             0.000059,  2,  0,  0, 0
     512,             0.000248,  2,  0,  0, 0
    1024,             0.001375,  2,  0,  0, 0
    2048,             0.008775,  2,  0,  0, 0
    4096,             0.036523,  2,  0,  0, 0
    8192,             0.129643,  2,  0,  0, 0
   16384,             0.531906,  2,  0,  0, 0
      64,             0.000003,  2,  0,  0, 0
     128,             0.000014,  2,  0,  0, 0
     256,             0.000060,  2,  0,  0, 0
     512,             0.000250,  2,  0,  0, 0
    1024,             0.001370,  2,  0,  0, 0
    2048,             0.008757,  2,  0,  0, 0
    4096,             0.039016,  2,  0,  0, 0
    8192,             0.138069,  2,  0,  0, 0
   16384,             0.527166,  2,  0,  0, 0
      64,             0.000003,  2,  0,  0, 0
     128,             0.000014,  2,  0,  0, 0
     256,             0.000070,  2,  0,  0, 0
     512,             0.000248,  2,  0,  0, 0
    1024,             0.001355,  2,  0,  0, 0
    2048,             0.008677,  2,  0,  0, 0
    4096,             0.038897,  2,  0,  0, 0
    8192,             0.136675,  2,  0,  0, 0
   16384,             0.550667,  2,  0,  0, 0
      64,             0.000003,  2,  0,  0, 0
     128,             0.000014,  2,  0,  0, 0
     256,             0.000059,  2,  0,  0, 0
     512,             0.000248,  2,  0,  0, 0
    1024,             0.001357,  2,  0,  0, 0
    2048,             0.008788,  2,  0,  0, 0
    4096,             0.038352,  2,  0,  0, 0
    8192,             0.138029,  2,  0,  0, 0
   16384,             0.524073,  2,  0,  0, 0
      64,             0.000003,  2,  0,  0, 0
     128,             0.000013,  2,  0,  0, 0
     256,             0.000070,  2,  0,  0, 0
     512,             0.000227,  2,  0,  0, 0
    1024,             0.001375,  2,  0,  0, 0
    2048,             0.008795,  2,  0,  0, 0
    4096,             0.037588,  2,  0,  0, 0
    8192,             0.132169,  2,  0,  0, 0
   16384,             0.529952,  2,  0,  0, 0
      64,             0.000003,  2,  0,  0, 0
     128,             0.000014,  2,  0,  0, 0
     256,             0.000059,  2,  0,  0, 0
     512,             0.000248,  2,  0,  0, 0
    1024,             0.001372,  2,  0,  0, 0
    2048,             0.008772,  2,  0,  0, 0
    4096,             0.036297,  2,  0,  0, 0
    8192,             0.139849,  2,  0,  0, 0
   16384,             0.542287,  2,  0,  0, 0
      64,             0.000003,  2,  0,  0, 0
     128,             0.000014,  2,  0,  0, 0
     256,             0.000059,  2,  0,  0, 0
     512,             0.000250,  2,  0,  0, 0
    1024,             0.001383,  2,  0,  0, 0
    2048,             0.009206,  2,  0,  0, 0
    4096,             0.039261,  2,  0,  0, 0
    8192,             0.138857,  2,  0,  0, 0
   16384,             0.538791,  2,  0,  0, 0
      64,             0.000003,  3,  0,  0, 0
     128,             0.000014,  3,  0,  0, 0
     256,             0.000059,  3,  0,  0, 0
     512,             0.000248,  3,  0,  0, 0
    1024,             0.001386,  3,  0,  0, 0
    2048,             0.008801,  3,  0,  0, 0
    4096,             0.037804,  3,  0,  0, 0
    8192,             0.134261,  3,  0,  0, 0
   16384,             0.526231,  3,  0,  0, 0
      64,             0.000003,  3,  0,  0, 0
     128,             0.000014,  3,  0,  0, 0
     256,             0.000059,  3,  0,  0, 0
     512,             0.000248,  3,  0,  0, 0
    1024,             0.001383,  3,  0,  0, 0
    2048,             0.008773,  3,  0,  0, 0
    4096,             0.037460,  3,  0,  0, 0
    8192,             0.138057,  3,  0,  0, 0
   16384,             0.514357,  3,  0,  0, 0
      64,             0.000003,  3,  0,  0, 0
     128,             0.000014,  3,  0,  0, 0
     256,             0.000070,  3,  0,  0, 0
     512,             0.000248,  3,  0,  0, 0
    1024,             0.001370,  3,  0,  0, 0
    2048,             0.008797,  3,  0,  0, 0
    4096,             0.036585,  3,  0,  0, 0
    8192,             0.134881,  3,  0,  0, 0
   16384,             0.509533,  3,  0,  0, 0
      64,             0.000003,  3,  0,  0, 0
     128,             0.000013,  3,  0,  0, 0
     256,             0.000058,  3,  0,  0, 0
     512,             0.000227,  3,  0,  0, 0
    1024,             0.001398,  3,  0,  0, 0
    2048,             0.008884,  3,  0,  0, 0
    4096,             0.036137,  3,  0,  0, 0
    8192,             0.138112,  3,  0,  0, 0
   16384,             0.520136,  3,  0,  0, 0
      64,             0.000003,  3,  0,  0, 0
     128,             0.000014,  3,  0,  0, 0
     256,             0.000060,  3,  0,  0, 0
     512,             0.000248,  3,  0,  0, 0
    1024,             0.001400,  3,  0,  0, 0
    2048,             0.008776,  3,  0,  0, 0
    4096,             0.037709,  3,  0,  0, 0
    8192,             0.130341,  3,  0,  0, 0
   16384,             0.518862,  3,  0,  0, 0
      64,             0.000003,  3,  0,  0, 0
     128,             0.000014,  3,  0,  0, 0
     256,             0.000059,  3,  0,  0, 0
     512,             0.000232,  3,  0,  0, 0
    1024,             0.001357,  3,  0,  0, 0
    2048,             0.008800,  3,  0,  0, 0
    4096,             0.035405,  3,  0,  0, 0
    8192,             0.129475,  3,  0,  0, 0
   16384,             0.525448,  3,  0,  0, 0
      64,             0.000003,  3,  0,  0, 0
     128,             0.000014,  3,  0,  0, 0
     256,             0.000069,  3,  0,  0, 0
     512,             0.000246,  3,  0,  0, 0
    1024,             0.001373,  3,  0,  0, 0
    2048,             0.008603,  3,  0,  0, 0
    4096,             0.036520,  3,  0,  0, 0
    8192,             0.138656,  3,  0,  0, 0
   16384,             0.520726,  3,  0,  0, 0
      64,             0.000003,  3,  0,  0, 0
     128,             0.000014,  3,  0,  0, 0
     256,             0.000059,  3,  0,  0, 0
     512,             0.000246,  3,  0,  0, 0
    1024,             0.001371,  3,  0,  0, 0
    2048,             0.008832,  3,  0,  0, 0
    4096,             0.037695,  3,  0,  0, 0
    8192,             0.136610,  3,  0,  0, 0
   16384,             0.515529,  3,  0,  0, 0
      64,             0.000003,  3,  0,  0, 0
     128,             0.000014,  3,  0,  0, 0
     256,             0.000059,  3,  0,  0, 0
     512,             0.000248,  3,  0,  0, 0
    1024,             0.001373,  3,  0,  0, 0
    2048,             0.008852,  3,  0,  0, 0
    4096,             0.036598,  3,  0,  0, 0
    8192,             0.134845,  3,  0,  0, 0
   16384,             0.517337,  3,  0,  0, 0
      64,             0.000003,  3,  0,  0, 0
     128,             0.000013,  3,  0,  0, 0
     256,             0.000059,  3,  0,  0, 0
     512,             0.000225,  3,  0,  0, 0
    1024,             0.001338,  3,  0,  0, 0
    2048,             0.008718,  3,  0,  0, 0
    4096,             0.036099,  3,  0,  0, 0
    8192,             0.127958,  3,  0,  0, 0
   16384,             0.504526,  3,  0,  0, 0
      64,             0.001992,  4,  0,  0, 0
     128,             0.000009,  4,  0,  0, 0
     256,             0.000029,  4,  0,  0, 0
     512,             0.000125,  4,  0,  0, 0
    1024,             0.000419,  4,  0,  0, 0
    2048,             0.002439,  4,  0,  0, 0
    4096,             0.008858,  4,  0,  0, 0
    8192,             0.034203,  4,  0,  0, 0
   16384,             0.135822,  4,  0,  0, 0
      64,             0.002043,  4,  0,  0, 0
     128,             0.000009,  4,  0,  0, 0
     256,             0.000048,  4,  0,  0, 0
     512,             0.000125,  4,  0,  0, 0
    1024,             0.000426,  4,  0,  0, 0
    2048,             0.002390,  4,  0,  0, 0
    4096,             0.009017,  4,  0,  0, 0
    8192,             0.035019,  4,  0,  0, 0
   16384,             0.133741,  4,  0,  0, 0
      64,             0.001941,  4,  0,  0, 0
     128,             0.000009,  4,  0,  0, 0
     256,             0.000029,  4,  0,  0, 0
     512,             0.000126,  4,  0,  0, 0
    1024,             0.000420,  4,  0,  0, 0
    2048,             0.002415,  4,  0,  0, 0
    4096,             0.009209,  4,  0,  0, 0
    8192,             0.035496,  4,  0,  0, 0
   16384,             0.136214,  4,  0,  0, 0
      64,             0.001953,  4,  0,  0, 0
     128,             0.000009,  4,  0,  0, 0
     256,             0.000029,  4,  0,  0, 0
     512,             0.000123,  4,  0,  0, 0
    1024,             0.000424,  4,  0,  0, 0
    2048,             0.002441,  4,  0,  0, 0
    4096,             0.008905,  4,  0,  0, 0
    8192,             0.034644,  4,  0,  0, 0
   16384,             0.136328,  4,  0,  0, 0
      64,             0.001956,  4,  0,  0, 0
     128,             0.000009,  4,  0,  0, 0
     256,             0.000029,  4,  0,  0, 0
     512,             0.000124,  4,  0,  0, 0
    1024,             0.000422,  4,  0,  0, 0
    2048,             0.002433,  4,  0,  0, 0
    4096,             0.008995,  4,  0,  0, 0
    8192,             0.035027,  4,  0,  0, 0
   16384,             0.136508,  4,  0,  0, 0
      64,             0.001969,  4,  0,  0, 0
     128,             0.000009,  4,  0,  0, 0
     256,             0.000029,  4,  0,  0, 0
     512,             0.000123,  4,  0,  0, 0
    1024,             0.000418,  4,  0,  0, 0
    2048,             0.002425,  4,  0,  0, 0
    4096,             0.008953,  4,  0,  0, 0
    8192,             0.035478,  4,  0,  0, 0
   16384,             0.137170,  4,  0,  0, 0
      64,             0.001985,  4,  0,  0, 0
     128,             0.000009,  4,  0,  0, 0
     256,             0.000029,  4,  0,  0, 0
     512,             0.000123,  4,  0,  0, 0
    1024,             0.000422,  4,  0,  0, 0
    2048,             0.002435,  4,  0,  0, 0
    4096,             0.008897,  4,  0,  0, 0
    8192,             0.035357,  4,  0,  0, 0
   16384,             0.135475,  4,  0,  0, 0
      64,             0.001999,  4,  0,  0, 0
     128,             0.000009,  4,  0,  0, 0
     256,             0.000029,  4,  0,  0, 0
     512,             0.000126,  4,  0,  0, 0
    1024,             0.000417,  4,  0,  0, 0
    2048,             0.002436,  4,  0,  0, 0
    4096,             0.008987,  4,  0,  0, 0
    8192,             0.034465,  4,  0,  0, 0
   16384,             0.133185,  4,  0,  0, 0
      64,             0.001977,  4,  0,  0, 0
     128,             0.000009,  4,  0,  0, 0
     256,             0.000029,  4,  0,  0, 0
     512,             0.000123,  4,  0,  0, 0
    1024,             0.000416,  4,  0,  0, 0
    2048,             0.002400,  4,  0,  0, 0
    4096,             0.008881,  4,  0,  0, 0
    8192,             0.033679,  4,  0,  0, 0
   16384,             0.136650,  4,  0,  0, 0
      64,             0.002037,  4,  0,  0, 0
     128,             0.000009,  4,  0,  0, 0
     256,             0.000029,  4,  0,  0, 0
     512,             0.000129,  4,  0,  0, 0
    1024,             0.000420,  4,  0,  0, 0
    2048,             0.002393,  4,  0,  0, 0
    4096,             0.009113,  4,  0,  0, 0
    8192,             0.035260,  4,  0,  0, 0
   16384,             0.134745,  4,  0,  0, 0
      64,             0.001970,  9,  0,  0, 0
     128,             0.000011,  9,  0,  0, 0
     256,             0.000032,  9,  0,  0, 0
     512,             0.000126,  9,  0,  0, 0
    1024,             0.000416,  9,  0,  0, 0
    2048,             0.002477,  9,  0,  0, 0
    4096,             0.008948,  9,  0,  0, 0
    8192,             0.035069,  9,  0,  0, 0
   16384,             0.134927,  9,  0,  0, 0
      64,             0.001978,  9,  0,  0, 0
     128,             0.000012,  9,  0,  0, 0
     256,             0.000032,  9,  0,  0, 0
     512,             0.000126,  9,  0,  0, 0
    1024,             0.000423,  9,  0,  0, 0
    2048,             0.002421,  9,  0,  0, 0
    4096,             0.008872,  9,  0,  0, 0
    8192,             0.034743,  9,  0,  0, 0
   16384,             0.136758,  9,  0,  0, 0
      64,             0.001927,  9,  0,  0, 0
     128,             0.000011,  9,  0,  0, 0
     256,             0.000032,  9,  0,  0, 0
     512,             0.000126,  9,  0,  0, 0
    1024,             0.000421,  9,  0,  0, 0
    2048,             0.002428,  9,  0,  0, 0
    4096,             0.008929,  9,  0,  0, 0
    8192,             0.034890,  9,  0,  0, 0
   16384,             0.133484,  9,  0,  0, 0
      64,             0.001968,  9,  0,  0, 0
     128,             0.000011,  9,  0,  0, 0
     256,             0.000032,  9,  0,  0, 0
     512,             0.000124,  9,  0,  0, 0
    1024,             0.000424,  9,  0,  0, 0
    2048,             0.002462,  9,  0,  0, 0
    4096,             0.009002,  9,  0,  0, 0
    8192,             0.034457,  9,  0,  0, 0
   16384,             0.134981,  9,  0,  0, 0
      64,             0.002019,  9,  0,  0, 0
     128,             0.000011,  9,  0,  0, 0
     256,             0.000032,  9,  0,  0, 0
     512,             0.000128,  9,  0,  0, 0
    1024,             0.000426,  9,  0,  0, 0
    2048,             0.002416,  9,  0,  0, 0
    4096,             0.009043,  9,  0,  0, 0
    8192,             0.034996,  9,  0,  0, 0
   16384,             0.135919,  9,  0,  0, 0
      64,             0.001998,  9,  0,  0, 0
     128,             0.000011,  9,  0,  0, 0
     256,             0.000032,  9,  0,  0, 0
     512,             0.000124,  9,  0,  0, 0
    1024,             0.000427,  9,  0,  0, 0
    2048,             0.002428,  9,  0,  0, 0
    4096,             0.008997,  9,  0,  0, 0
    8192,             0.035246,  9,  0,  0, 0
   16384,             0.135141,  9,  0,  0, 0
      64,             0.002000,  9,  0,  0, 0
     128,             0.000012,  9,  0,  0, 0
     256,             0.000032,  9,  0,  0, 0
     512,             0.000123,  9,  0,  0, 0
    1024,             0.000424,  9,  0,  0, 0
    2048,             0.002418,  9,  0,  0, 0
    4096,             0.009005,  9,  0,  0, 0
    8192,             0.035173,  9,  0,  0, 0
   16384,             0.135225,  9,  0,  0, 0
      64,             0.001960,  9,  0,  0, 0
     128,             0.000012,  9,  0,  0, 0
     256,             0.000032,  9,  0,  0, 0
     512,             0.000128,  9,  0,  0, 0
    1024,             0.000418,  9,  0,  0, 0
    2048,             0.002466,  9,  0,  0, 0
    4096,             0.009048,  9,  0,  0, 0
    8192,             0.034562,  9,  0,  0, 0
   16384,             0.134955,  9,  0,  0, 0
      64,             0.002046,  9,  0,  0, 0
     128,             0.000012,  9,  0,  0, 0
     256,             0.000032,  9,  0,  0, 0
     512,             0.000127,  9,  0,  0, 0
    1024,             0.000433,  9,  0,  0, 0
    2048,             0.002407,  9,  0,  0, 0
    4096,             0.008996,  9,  0,  0, 0
    8192,             0.034881,  9,  0,  0, 0
   16384,             0.135615,  9,  0,  0, 0
      64,             0.001973,  9,  0,  0, 0
     128,             0.000012,  9,  0,  0, 0
     256,             0.000032,  9,  0,  0, 0
     512,             0.000124,  9,  0,  0, 0
    1024,             0.000423,  9,  0,  0, 0
    2048,             0.002433,  9,  0,  0, 0
    4096,             0.008910,  9,  0,  0, 0
    8192,             0.035263,  9,  0,  0, 0
   16384,             0.136276,  9,  0,  0, 0
      64,             0.132401,  6,  0,  0, 0
     128,             0.000143,  6,  0,  0, 0
     256,             0.000388,  6,  0,  0, 0
     512,             0.001277,  6,  0,  0, 0
    1024,             0.003767,  6,  0,  0, 0
    2048,             0.014276,  6,  0,  0, 0
    4096,             0.058902,  6,  0,  0, 0
    8192,             0.227941,  6,  0,  0, 0
   16384,             0.854663,  6,  0,  0, 0
      64,             0.134316,  6,  0,  0, 0
     128,             0.000141,  6,  0,  0, 0
     256,             0.000386,  6,  0,  0, 0
     512,             0.001276,  6,  0,  0, 0
    1024,             0.003785,  6,  0,  0, 0
    2048,             0.014279,  6,  0,  0, 0
    4096,             0.058536,  6,  0,  0, 0
    8192,             0.230266,  6,  0,  0, 0
   16384,             0.856999,  6,  0,  0, 0
      64,             0.136019,  6,  0,  0, 0
     128,             0.000138,  6,  0,  0, 0
     256,             0.000385,  6,  0,  0, 0
     512,             0.001273,  6,  0,  0, 0
    1024,             0.003756,  6,  0,  0, 0
    2048,             0.014342,  6,  0,  0, 0
    4096,             0.062255,  6,  0,  0, 0
    8192,             0.230477,  6,  0,  0, 0
   16384,             0.857395,  6,  0,  0, 0
      64,             0.136878,  6,  0,  0, 0
     128,             0.000139,  6,  0,  0, 0
     256,             0.000384,  6,  0,  0, 0
     512,             0.001283,  6,  0,  0, 0
    1024,             0.003720,  6,  0,  0, 0
    2048,             0.014468,  6,  0,  0, 0
    4096,             0.060151,  6,  0,  0, 0
    8192,             0.224864,  6,  0,  0, 0
   16384,             0.857455,  6,  0,  0, 0
      64,             0.135567,  6,  0,  0, 0
     128,             0.000147,  6,  0,  0, 0
     256,             0.000386,  6,  0,  0, 0
     512,             0.001297,  6,  0,  0, 0
    1024,             0.003713,  6,  0,  0, 0
    2048,             0.014341,  6,  0,  0, 0
    4096,             0.059209,  6,  0,  0, 0
    8192,             0.222759,  6,  0,  0, 0
   16384,             0.844560,  6,  0,  0, 0
      64,             0.136398,  6,  0,  0, 0
     128,             0.000139,  6,  0,  0, 0
     256,             0.000410,  6,  0,  0, 0
     512,             0.001274,  6,  0,  0, 0
    1024,             0.003849,  6,  0,  0, 0
    2048,             0.014118,  6,  0,  0, 0
    4096,             0.059359,  6,  0,  0, 0
    8192,             0.228606,  6,  0,  0, 0
   16384,             0.852968,  6,  0,  0, 0
      64,             0.136224,  6,  0,  0, 0
     128,             0.000139,  6,  0,  0, 0
     256,             0.000385,  6,  0,  0, 0
     512,             0.001287,  6,  0,  0, 0
    1024,             0.003750,  6,  0,  0, 0
    2048,             0.014411,  6,  0,  0, 0
    4096,             0.059438,  6,  0,  0, 0
    8192,             0.228879,  6,  0,  0, 0
   16384,             0.857058,  6,  0,  0, 0
      64,             0.132707,  6,  0,  0, 0
     128,             0.000176,  6,  0,  0, 0
     256,             0.000386,  6,  0,  0, 0
     512,             0.001313,  6,  0,  0, 0
    1024,             0.003799,  6,  0,  0, 0
    2048,             0.014267,  6,  0,  0, 0
    4096,             0.059097,  6,  0,  0, 0
    8192,             0.230472,  6,  0,  0, 0
   16384,             0.866380,  6,  0,  0, 0
      64,             0.137103,  6,  0,  0, 0
     128,             0.000140,  6,  0,  0, 0
     256,             0.000388,  6,  0,  0, 0
     512,             0.001275,  6,  0,  0, 0
    1024,             0.003778,  6,  0,  0, 0
    2048,             0.014370,  6,  0,  0, 0
    4096,             0.059891,  6,  0,  0, 0
    8192,             0.228675,  6,  0,  0, 0
   16384,             0.855783,  6,  0,  0, 0
      64,             0.138035,  6,  0,  0, 0
     128,             0.000142,  6,  0,  0, 0
     256,             0.000386,  6,  0,  0, 0
     512,             0.001279,  6,  0,  0, 0
    1024,             0.003762,  6,  0,  0, 0
    2048,             0.014544,  6,  0,  0, 0
    4096,             0.059182,  6,  0,  0, 0
    8192,             0.230317,  6,  0,  0, 0
   16384,             0.861403,  6,  0,  0, 0
      64,             0.135892,  6,  0,  0, 0
     128,             0.000140,  6,  0,  0, 0
     256,             0.000385,  6,  0,  0, 0
     512,             0.001283,  6,  0,  0, 0
    1024,             0.003756,  6,  0,  0, 0
    2048,             0.014108,  6,  0,  0, 0
    4096,             0.060234,  6,  0,  0, 0
    8192,             0.219469,  6,  0,  0, 0
   16384,             0.845379,  6,  0,  0, 0
      64,             0.134312,  6,  0,  0, 0
     128,             0.000138,  6,  0,  0, 0
     256,             0.000387,  6,  0,  0, 0
     512,             0.001296,  6,  0,  0, 0
    1024,             0.003759,  6,  0,  0, 0
    2048,             0.014563,  6,  0,  0, 0
    4096,             0.060464,  6,  0,  0, 0
